id,run,pop,herb,dose,rate,rep,surv,biomass,percentbio,biored
1,1,A92,fome,0x,0,1,1,2.482,1.00,1.00
2,1,A92,fome,0x,0,2,,,,
3,1,A92,fome,0x,0,3,1,2.284,1.00,1.00
4,1,A92,fome,0x,0,4,1,2.684,1.00,1.00
5,1,A92,fome,0.015x,4,1,1,3.494,1.00,0.00
6,1,A92,fome,0.015x,4,2,1,1.932,0.78,0.22
7,1,A92,fome,0.015x,4,3,1,1.925,0.78,0.22
8,1,A92,fome,0.015x,4,4,1,2.252,0.91,0.09
9,1,A92,fome,0.031x,8,1,1,3.526,1.00,0.00
10,1,A92,fome,0.031x,8,2,1,3.033,1.00,0.00
11,1,A92,fome,0.031x,8,3,1,1.636,0.66,0.34
12,1,A92,fome,0.031x,8,4,1,2.301,0.93,0.07
13,1,A92,fome,0.062x,16,1,0,0,0.00,1.00
14,1,A92,fome,0.062x,16,2,1,0.596,0.24,0.76
15,1,A92,fome,0.062x,16,3,1,2.692,1.00,0.00
16,1,A92,fome,0.062x,16,4,1,2.774,1.00,0.00
17,1,A92,fome,0.125x,33,1,1,1.687,0.68,0.32
18,1,A92,fome,0.125x,33,2,1,0.981,0.40,0.60
19,1,A92,fome,0.125x,33,3,0,0,0.00,1.00
20,1,A92,fome,0.125x,33,4,1,2.773,1.00,0.00
21,1,A92,fome,0.25x,66,1,1,0.642,0.26,0.74
22,1,A92,fome,0.25x,66,2,1,0.296,0.12,0.88
23,1,A92,fome,0.25x,66,3,1,2.329,0.94,0.06
24,1,A92,fome,0.25x,66,4,1,0.903,0.36,0.64
25,1,A92,fome,0.5x,132,1,1,2.439,0.98,0.02
26,1,A92,fome,0.5x,132,2,0,0,0.00,1.00
27,1,A92,fome,0.5x,132,3,0,0,0.00,1.00
28,1,A92,fome,0.5x,132,4,1,1.476,0.59,0.41
29,1,A92,fome,1x,263,1,1,0.113,0.05,0.95
30,1,A92,fome,1x,263,2,1,2.062,0.83,0.17
31,1,A92,fome,1x,263,3,0,0,0.00,1.00
32,1,A92,fome,1x,263,4,0,0,0.00,1.00
33,1,A92,fome,2x,526,1,1,1.571,0.63,0.37
34,1,A92,fome,2x,526,2,0,0,0.00,1.00
35,1,A92,fome,2x,526,3,0,0,0.00,1.00
36,1,A92,fome,2x,526,4,0,0,0.00,1.00
37,1,A92,fome,4x,1052,1,0,0,0.00,1.00
38,1,A92,fome,4x,1052,2,1,0.469,0.19,0.81
39,1,A92,fome,4x,1052,3,1,0.143,0.06,0.94
40,1,A92,fome,4x,1052,4,0,0,0.00,1.00
41,1,A92,fome,8x,2104,1,0,0,0.00,1.00
42,1,A92,fome,8x,2104,2,0,0,0.00,1.00
43,1,A92,fome,8x,2104,3,0,0,0.00,1.00
44,1,A92,fome,8x,2104,4,0,0,0.00,1.00
45,1,A92,fome,16x,4208,1,0,0,0.00,1.00
46,1,A92,fome,16x,4208,2,0,0,0.00,1.00
47,1,A92,fome,16x,4208,3,0,0,0.00,1.00
48,1,A92,fome,16x,4208,4,0,0,0.00,1.00
93,1,A82,fome,0x,0,1,1,3.588,1.00,1.00
94,1,A82,fome,0x,0,2,1,3.558,1.00,1.00
95,1,A82,fome,0x,0,3,1,3.848,1.00,1.00
96,1,A82,fome,0x,0,4,1,3.241,1.00,1.00
97,1,A82,fome,0.015x,4,1,1,2.642,0.74,0.26
98,1,A82,fome,0.015x,4,2,1,2.479,0.70,0.30
99,1,A82,fome,0.015x,4,3,1,2.127,0.60,0.40
100,1,A82,fome,0.015x,4,4,1,2.927,0.82,0.18
101,1,A82,fome,0.031x,8,1,1,3.303,0.93,0.07
102,1,A82,fome,0.031x,8,2,1,2.166,0.61,0.39
103,1,A82,fome,0.031x,8,3,1,2.401,0.67,0.33
104,1,A82,fome,0.031x,8,4,1,2.431,0.68,0.32
105,1,A82,fome,0.062x,16,1,1,2.131,0.60,0.40
106,1,A82,fome,0.062x,16,2,1,0.919,0.26,0.74
107,1,A82,fome,0.062x,16,3,0,0,0.00,1.00
108,1,A82,fome,0.062x,16,4,1,0.976,0.27,0.73
109,1,A82,fome,0.125x,33,1,0,0,0.00,1.00
110,1,A82,fome,0.125x,33,2,0,0,0.00,1.00
111,1,A82,fome,0.125x,33,3,0,0,0.00,1.00
112,1,A82,fome,0.125x,33,4,1,0.326,0.09,0.91
113,1,A82,fome,0.25x,66,1,0,0,0.00,1.00
114,1,A82,fome,0.25x,66,2,0,0,0.00,1.00
115,1,A82,fome,0.25x,66,3,0,0,0.00,1.00
116,1,A82,fome,0.25x,66,4,0,0,0.00,1.00
117,1,A82,fome,0.5x,132,1,0,0,0.00,1.00
118,1,A82,fome,0.5x,132,2,0,0,0.00,1.00
119,1,A82,fome,0.5x,132,3,0,0,0.00,1.00
120,1,A82,fome,0.5x,132,4,0,0,0.00,1.00
121,1,A82,fome,1x,263,1,0,0,0.00,1.00
122,1,A82,fome,1x,263,2,0,0,0.00,1.00
123,1,A82,fome,1x,263,3,1,0.402,0.11,0.89
124,1,A82,fome,1x,263,4,0,0,0.00,1.00
125,1,A82,fome,2x,526,1,0,0,0.00,1.00
126,1,A82,fome,2x,526,2,0,0,0.00,1.00
127,1,A82,fome,2x,526,3,0,0,0.00,1.00
128,1,A82,fome,2x,526,4,0,0,0.00,1.00
129,1,A82,fome,4x,1052,1,0,0,0.00,1.00
130,1,A82,fome,4x,1052,2,0,0,0.00,1.00
131,1,A82,fome,4x,1052,3,0,0,0.00,1.00
132,1,A82,fome,4x,1052,4,0,0,0.00,1.00
133,1,A82,fome,8x,2104,1,0,0,0.00,1.00
134,1,A82,fome,8x,2104,2,0,0,0.00,1.00
135,1,A82,fome,8x,2104,3,0,0,0.00,1.00
136,1,A82,fome,8x,2104,4,0,0,0.00,1.00
137,1,A82,fome,16x,4208,1,0,0,0.00,1.00
138,1,A82,fome,16x,4208,2,0,0,0.00,1.00
139,1,A82,fome,16x,4208,3,0,0,0.00,1.00
140,1,A82,fome,16x,4208,4,0,0,0.00,1.00
1,2,A92,fome,0x,0,1,1,3.009,1.00,1.00
2,2,A92,fome,0x,0,2,1,3.889,1.00,1.00
3,2,A92,fome,0x,0,3,1,3.688,1.00,1.00
4,2,A92,fome,0x,0,4,1,2.871,1.00,1.00
5,2,A92,fome,0.015x,4,1,1,3.036,0.90,0.10
6,2,A92,fome,0.015x,4,2,1,3.029,0.90,0.10
7,2,A92,fome,0.015x,4,3,1,3.413,1.00,0.00
8,2,A92,fome,0.015x,4,4,1,2.397,0.71,0.29
9,2,A92,fome,0.031x,8,1,1,3.795,1.00,0.00
10,2,A92,fome,0.031x,8,2,1,3.528,1.00,0.00
11,2,A92,fome,0.031x,8,3,1,2.092,0.62,0.38
12,2,A92,fome,0.031x,8,4,1,2.004,0.60,0.40
13,2,A92,fome,0.062x,16,1,1,1.479,0.44,0.56
14,2,A92,fome,0.062x,16,2,1,3.55,1.00,0.00
15,2,A92,fome,0.062x,16,3,1,1.168,0.35,0.65
16,2,A92,fome,0.062x,16,4,1,2.522,0.75,0.25
17,2,A92,fome,0.125x,33,1,1,2.76,0.82,0.18
18,2,A92,fome,0.125x,33,2,0,0,0.00,1.00
19,2,A92,fome,0.125x,33,3,1,3.359,1.00,0.00
20,2,A92,fome,0.125x,33,4,1,2.348,0.70,0.30
21,2,A92,fome,0.25x,66,1,1,2.297,0.68,0.32
22,2,A92,fome,0.25x,66,2,1,2.438,0.72,0.28
23,2,A92,fome,0.25x,66,3,1,1.788,0.53,0.47
24,2,A92,fome,0.25x,66,4,1,2.138,0.64,0.36
25,2,A92,fome,0.5x,132,1,1,0.171,0.05,0.95
26,2,A92,fome,0.5x,132,2,1,0.829,0.25,0.75
27,2,A92,fome,0.5x,132,3,1,0.154,0.05,0.95
28,2,A92,fome,0.5x,132,4,1,2.415,0.72,0.28
29,2,A92,fome,1x,263,1,1,0.146,0.04,0.96
30,2,A92,fome,1x,263,2,0,0,0.00,1.00
31,2,A92,fome,1x,263,3,1,0.46,0.14,0.86
32,2,A92,fome,1x,263,4,1,0.115,0.03,0.97
33,2,A92,fome,2x,526,1,0,0,0.00,1.00
34,2,A92,fome,2x,526,2,0,0,0.00,1.00
35,2,A92,fome,2x,526,3,0,0,0.00,1.00
36,2,A92,fome,2x,526,4,1,0.149,0.04,0.96
37,2,A92,fome,4x,1052,1,0,0,0.00,1.00
38,2,A92,fome,4x,1052,2,1,0.12,0.04,0.96
39,2,A92,fome,4x,1052,3,0,0,0.00,1.00
40,2,A92,fome,4x,1052,4,0,0,0.00,1.00
41,2,A92,fome,8x,2104,1,0,0,0.00,1.00
42,2,A92,fome,8x,2104,2,1,0.072,0.02,0.98
43,2,A92,fome,8x,2104,3,0,0,0.00,1.00
44,2,A92,fome,8x,2104,4,0,0,0.00,1.00
45,2,A92,fome,16x,4208,1,0,0,0.00,1.00
46,2,A92,fome,16x,4208,2,0,0,0.00,1.00
47,2,A92,fome,16x,4208,3,0,0,0.00,1.00
48,2,A92,fome,16x,4208,4,0,0,0.00,1.00
93,2,A82,fome,0x,0,1,1,3.317,1.00,1.00
94,2,A82,fome,0x,0,2,1,2.677,1.00,1.00
95,2,A82,fome,0x,0,3,1,1.961,1.00,1.00
96,2,A82,fome,0x,0,4,1,2.503,1.00,1.00
97,2,A82,fome,0.015x,4,1,1,1.501,0.57,0.43
98,2,A82,fome,0.015x,4,2,1,1.413,0.54,0.46
99,2,A82,fome,0.015x,4,3,1,1.894,0.72,0.28
100,2,A82,fome,0.015x,4,4,1,1.328,0.51,0.49
101,2,A82,fome,0.031x,8,1,1,2.167,0.83,0.17
102,2,A82,fome,0.031x,8,2,1,1.777,0.68,0.32
103,2,A82,fome,0.031x,8,3,0,0,0.00,1.00
104,2,A82,fome,0.031x,8,4,1,2.594,0.99,0.01
105,2,A82,fome,0.062x,16,1,1,1.321,0.51,0.49
106,2,A82,fome,0.062x,16,2,0,0,0.00,1.00
107,2,A82,fome,0.062x,16,3,1,0.941,0.36,0.64
108,2,A82,fome,0.062x,16,4,0,0,0.00,1.00
109,2,A82,fome,0.125x,33,1,0,0,0.00,1.00
110,2,A82,fome,0.125x,33,2,0,0,0.00,1.00
111,2,A82,fome,0.125x,33,3,1,0.454,0.17,0.83
112,2,A82,fome,0.125x,33,4,0,0,0.00,1.00
113,2,A82,fome,0.25x,66,1,0,0,0.00,1.00
114,2,A82,fome,0.25x,66,2,1,0.194,0.07,0.93
115,2,A82,fome,0.25x,66,3,1,0.869,0.33,0.67
116,2,A82,fome,0.25x,66,4,0,0,0.00,1.00
117,2,A82,fome,0.5x,132,1,0,0,0.00,1.00
118,2,A82,fome,0.5x,132,2,0,0,0.00,1.00
119,2,A82,fome,0.5x,132,3,0,0,0.00,1.00
120,2,A82,fome,0.5x,132,4,0,0,0.00,1.00
121,2,A82,fome,1x,263,1,0,0,0.00,1.00
122,2,A82,fome,1x,263,2,0,0,0.00,1.00
123,2,A82,fome,1x,263,3,0,0,0.00,1.00
124,2,A82,fome,1x,263,4,0,0,0.00,1.00
125,2,A82,fome,2x,526,1,0,0,0.00,1.00
126,2,A82,fome,2x,526,2,0,0,0.00,1.00
127,2,A82,fome,2x,526,3,0,0,0.00,1.00
128,2,A82,fome,2x,526,4,0,0,0.00,1.00
129,2,A82,fome,4x,1052,1,0,0,0.00,1.00
130,2,A82,fome,4x,1052,2,0,0,0.00,1.00
131,2,A82,fome,4x,1052,3,0,0,0.00,1.00
132,2,A82,fome,4x,1052,4,0,0,0.00,1.00
133,2,A82,fome,8x,2104,1,0,0,0.00,1.00
134,2,A82,fome,8x,2104,2,0,0,0.00,1.00
135,2,A82,fome,8x,2104,3,0,0,0.00,1.00
136,2,A82,fome,8x,2104,4,0,0,0.00,1.00
137,2,A82,fome,16x,4208,1,0,0,0.00,1.00
138,2,A82,fome,16x,4208,2,0,0,0.00,1.00
139,2,A82,fome,16x,4208,3,0,0,0.00,1.00
140,2,A82,fome,16x,4208,4,0,0,0.00,1.00
