id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
1,1,A92,flumi,0x,0,1,19,2.361,1.00,1.00,0.00,0.00
2,1,A92,flumi,0x,0,2,38,1.854,1.00,1.00,0.00,0.00
3,1,A92,flumi,0x,0,3,47,1.334,1.00,1.00,0.00,0.00
4,1,A92,flumi,0x,0,4,46,2.386,1.00,1.00,0.00,0.00
85,1,A92,flumi,0.015x,2,1,9,0.631,0.24,0.32,0.76,0.68
86,1,A92,flumi,0.015x,2,2,8,0.098,0.21,0.05,0.79,0.95
87,1,A92,flumi,0.015x,2,3,12,0.284,0.32,0.14,0.68,0.86
88,1,A92,flumi,0.015x,2,4,41,1.796,1.00,0.91,0.00,0.09
89,1,A92,flumi,0.031x,3,1,25,1.249,0.67,0.63,0.33,0.37
90,1,A92,flumi,0.031x,3,2,11,0.222,0.29,0.11,0.71,0.89
91,1,A92,flumi,0.031x,3,3,13,0.892,0.35,0.45,0.65,0.55
92,1,A92,flumi,0.031x,3,4,29,1.797,0.77,0.91,0.23,0.09
93,1,A92,flumi,0.062x,7,1,18,1.173,0.48,0.59,0.52,0.41
94,1,A92,flumi,0.062x,7,2,6,0.387,0.16,0.20,0.84,0.80
95,1,A92,flumi,0.062x,7,3,25,1.845,0.67,0.93,0.33,0.07
96,1,A92,flumi,0.062x,7,4,23,1.6,0.61,0.81,0.39,0.19
97,1,A92,flumi,0.125x,13,1,17,0.96,0.45,0.48,0.55,0.52
98,1,A92,flumi,0.125x,13,2,26,1.005,0.69,0.51,0.31,0.49
99,1,A92,flumi,0.125x,13,3,,,,,,
100,1,A92,flumi,0.125x,13,4,25,1.179,0.67,0.59,0.33,0.41
101,1,A92,flumi,0.25x,27,1,15,0.748,0.40,0.38,0.60,0.62
102,1,A92,flumi,0.25x,27,2,4,0.173,0.11,0.09,0.89,0.91
103,1,A92,flumi,0.25x,27,3,3,0.023,0.08,0.01,0.92,0.99
104,1,A92,flumi,0.25x,27,4,1,0.003,0.03,0.00,0.97,1.00
105,1,A92,flumi,0.5x,53,1,15,0.407,0.40,0.21,0.60,0.79
106,1,A92,flumi,0.5x,53,2,1,0.061,0.03,0.03,0.97,0.97
107,1,A92,flumi,0.5x,53,3,1,0.007,0.03,0.00,0.97,1.00
108,1,A92,flumi,0.5x,53,4,0,0,0.00,0.00,1.00,1.00
109,1,A92,flumi,1x,106,1,0,0,0.00,0.00,1.00,1.00
110,1,A92,flumi,1x,106,2,0,0,0.00,0.00,1.00,1.00
111,1,A92,flumi,1x,106,3,0,0,0.00,0.00,1.00,1.00
112,1,A92,flumi,1x,106,4,1,0.002,0.03,0.00,0.97,1.00
113,1,A92,flumi,2x,212,1,,,,,,
114,1,A92,flumi,2x,212,2,2,0.003,0.05,0.00,0.95,1.00
115,1,A92,flumi,2x,212,3,0,0,0.00,0.00,1.00,1.00
116,1,A92,flumi,2x,212,4,0,0,0.00,0.00,1.00,1.00
117,1,A92,flumi,4x,424,1,0,0,0.00,0.00,1.00,1.00
118,1,A92,flumi,4x,424,2,0,0,0.00,0.00,1.00,1.00
119,1,A92,flumi,4x,424,3,0,0,0.00,0.00,1.00,1.00
120,1,A92,flumi,4x,424,4,0,0,0.00,0.00,1.00,1.00
121,1,A92,flumi,8x,848,1,0,0,0.00,0.00,1.00,1.00
122,1,A92,flumi,8x,848,2,0,0,0.00,0.00,1.00,1.00
123,1,A92,flumi,8x,848,3,0,0,0.00,0.00,1.00,1.00
124,1,A92,flumi,8x,848,4,0,0,0.00,0.00,1.00,1.00
125,1,A66,flumi,0x,0,1,26,0.937,1.00,1.00,0.00,0.00
126,1,A66,flumi,0x,0,2,,,,,,
127,1,A66,flumi,0x,0,3,,,,,,
209,1,A66,flumi,0.015x,2,1,4,0.005,0.40,0.01,0.60,0.99
210,1,A66,flumi,0.015x,2,2,5,0.003,0.50,0.01,0.50,0.99
211,1,A66,flumi,0.015x,2,3,16,1.146,1.00,1.00,0.00,0.00
212,1,A66,flumi,0.015x,2,4,11,0.139,1.00,0.39,0.00,0.61
213,1,A66,flumi,0.031x,3,1,5,0.467,0.50,1.00,0.50,0.00
214,1,A66,flumi,0.031x,3,2,,,,,,
215,1,A66,flumi,0.031x,3,3,1,0.02,0.10,0.06,0.90,0.94
216,1,A66,flumi,0.031x,3,4,0,0,0.00,0.00,1.00,1.00
217,1,A66,flumi,0.062x,7,1,4,0.042,0.40,0.12,0.60,0.88
218,1,A66,flumi,0.062x,7,2,1,0.032,0.10,0.09,0.90,0.91
219,1,A66,flumi,0.062x,7,3,,,,,,
220,1,A66,flumi,0.062x,7,4,2,0.039,0.20,0.11,0.80,0.89
221,1,A66,flumi,0.125x,13,1,6,0.779,0.60,1.00,0.40,0.00
222,1,A66,flumi,0.125x,13,2,,,,,,
223,1,A66,flumi,0.125x,13,3,1,0.003,0.10,0.01,0.90,0.99
224,1,A66,flumi,0.125x,13,4,4,0.172,0.40,0.49,0.60,0.51
225,1,A66,flumi,0.25x,27,1,0,0,0.00,0.00,1.00,1.00
226,1,A66,flumi,0.25x,27,2,9,0.912,0.90,1.00,0.10,0.00
227,1,A66,flumi,0.25x,27,3,5,0.076,0.50,0.22,0.50,0.78
228,1,A66,flumi,0.25x,27,4,6,0.049,0.60,0.14,0.40,0.86
229,1,A66,flumi,0.5x,53,1,0,0,0.00,0.00,1.00,1.00
230,1,A66,flumi,0.5x,53,2,0,0,0.00,0.00,1.00,1.00
231,1,A66,flumi,0.5x,53,3,0,0,0.00,0.00,1.00,1.00
232,1,A66,flumi,0.5x,53,4,0,0,0.00,0.00,1.00,1.00
233,1,A66,flumi,1x,106,1,0,0,0.00,0.00,1.00,1.00
234,1,A66,flumi,1x,106,2,0,0,0.00,0.00,1.00,1.00
235,1,A66,flumi,1x,106,3,0,0,0.00,0.00,1.00,1.00
236,1,A66,flumi,1x,106,4,0,0,0.00,0.00,1.00,1.00
1,2,A92,flumi,0x,0,1,24,2.062,1.00,1.00,0.00,0.00
2,2,A92,flumi,0x,0,2,12,1.616,1.00,1.00,0.00,0.00
3,2,A92,flumi,0x,0,3,25,1.125,1.00,1.00,0.00,0.00
4,2,A92,flumi,0x,0,4,55,2.125,1.00,1.00,0.00,0.00
85,2,A92,flumi,0.015x,2,1,14,1.028,0.48,0.59,0.52,0.41
86,2,A92,flumi,0.015x,2,2,14,0.416,0.48,0.24,0.52,0.76
87,2,A92,flumi,0.015x,2,3,56,1.369,1.00,0.79,0.00,0.21
88,2,A92,flumi,0.015x,2,4,26,0.994,0.90,0.57,0.10,0.43
89,2,A92,flumi,0.031x,3,1,3,0.039,0.10,0.02,0.90,0.98
90,2,A92,flumi,0.031x,3,2,2,0.008,0.07,0.00,0.93,1.00
91,2,A92,flumi,0.031x,3,3,11,0.089,0.38,0.05,0.62,0.95
92,2,A92,flumi,0.031x,3,4,32,1.178,1.00,0.68,0.00,0.32
93,2,A92,flumi,0.062x,7,1,23,0.46,0.79,0.27,0.21,0.73
94,2,A92,flumi,0.062x,7,2,,,,,,
95,2,A92,flumi,0.062x,7,3,,,,,,
96,2,A92,flumi,0.062x,7,4,11,0.361,0.38,0.21,0.62,0.79
97,2,A92,flumi,0.125x,13,1,29,1.854,1.00,1.00,0.00,0.00
98,2,A92,flumi,0.125x,13,2,14,0.271,0.48,0.16,0.52,0.84
99,2,A92,flumi,0.125x,13,3,,0.81,,0.47,,0.53
100,2,A92,flumi,0.125x,13,4,21,1.701,0.72,0.98,0.28,0.02
101,2,A92,flumi,0.25x,27,1,19,1.442,0.66,0.83,0.34,0.17
102,2,A92,flumi,0.25x,27,2,4,0.085,0.14,0.05,0.86,0.95
103,2,A92,flumi,0.25x,27,3,0,0,0.00,0.00,1.00,1.00
104,2,A92,flumi,0.25x,27,4,0,0,0.00,0.00,1.00,1.00
105,2,A92,flumi,0.5x,53,1,2,0.089,0.07,0.05,0.93,0.95
106,2,A92,flumi,0.5x,53,2,12,0.124,0.41,0.07,0.59,0.93
107,2,A92,flumi,0.5x,53,3,0,0,0.00,0.00,1.00,1.00
108,2,A92,flumi,0.5x,53,4,0,0,0.00,0.00,1.00,1.00
109,2,A92,flumi,1x,106,1,0,0,0.00,0.00,1.00,1.00
110,2,A92,flumi,1x,106,2,4,0.04,0.14,0.02,0.86,0.98
111,2,A92,flumi,1x,106,3,2,0.001,0.07,0.00,0.93,1.00
112,2,A92,flumi,1x,106,4,2,0.011,0.07,0.01,0.93,0.99
113,2,A92,flumi,2x,212,1,1,0.001,0.03,0.00,0.97,1.00
114,2,A92,flumi,2x,212,2,0,0,0.00,0.00,1.00,1.00
115,2,A92,flumi,2x,212,3,0,0,0.00,0.00,1.00,1.00
116,2,A92,flumi,2x,212,4,0,0,0.00,0.00,1.00,1.00
117,2,A92,flumi,4x,424,1,0,0,0.00,0.00,1.00,1.00
118,2,A92,flumi,4x,424,2,0,0,0.00,0.00,1.00,1.00
119,2,A92,flumi,4x,424,3,0,0,0.00,0.00,1.00,1.00
120,2,A92,flumi,4x,424,4,0,0,0.00,0.00,1.00,1.00
121,2,A92,flumi,8x,848,1,0,0,0.00,0.00,1.00,1.00
122,2,A92,flumi,8x,848,2,0,0,0.00,0.00,1.00,1.00
123,2,A92,flumi,8x,848,3,0,0,0.00,0.00,1.00,1.00
124,2,A92,flumi,8x,848,4,0,0,0.00,0.00,1.00,1.00
125,2,A66,flumi,0x,0,1,,,,,,
126,2,A66,flumi,0x,0,2,25,2.32,1.00,1.00,0.00,0.00
127,2,A66,flumi,0x,0,3,25,1.686,1.00,1.00,0.00,0.00
209,2,A66,flumi,0.015x,2,1,3,0.118,0.16,0.09,0.84,0.91
210,2,A66,flumi,0.015x,2,2,3,0.042,0.16,0.03,0.84,0.97
211,2,A66,flumi,0.015x,2,3,4,0.156,0.21,0.12,0.79,0.88
212,2,A66,flumi,0.015x,2,4,3,0.021,0.16,0.02,0.84,0.98
213,2,A66,flumi,0.031x,3,1,1,0.023,0.05,0.02,0.95,0.98
214,2,A66,flumi,0.031x,3,2,1,0.01,0.05,0.01,0.95,0.99
215,2,A66,flumi,0.031x,3,3,4,0.013,0.21,0.01,0.79,0.99
216,2,A66,flumi,0.031x,3,4,0,0,0.00,0.00,1.00,1.00
217,2,A66,flumi,0.062x,7,1,0,0,0.00,0.00,1.00,1.00
218,2,A66,flumi,0.062x,7,2,0,0,0.00,0.00,1.00,1.00
219,2,A66,flumi,0.062x,7,3,0,0,0.00,0.00,1.00,1.00
221,2,A66,flumi,0.125x,13,1,0,0,0.00,0.00,1.00,1.00
222,2,A66,flumi,0.125x,13,2,0,0,0.00,0.00,1.00,1.00
223,2,A66,flumi,0.125x,13,3,0,0,0.00,0.00,1.00,1.00
225,2,A66,flumi,0.25x,27,1,0,0,0.00,0.00,1.00,1.00
226,2,A66,flumi,0.25x,27,2,0,0,0.00,0.00,1.00,1.00
227,2,A66,flumi,0.25x,27,3,0,0,0.00,0.00,1.00,1.00
229,2,A66,flumi,0.5x,53,1,0,0,0.00,0.00,1.00,1.00
230,2,A66,flumi,0.5x,53,2,0,0,0.00,0.00,1.00,1.00
231,2,A66,flumi,0.5x,53,3,0,0,0.00,0.00,1.00,1.00
233,2,A66,flumi,1x,106,1,0,0,0.00,0.00,1.00,1.00
234,2,A66,flumi,1x,106,2,0,0,0.00,0.00,1.00,1.00
235,2,A66,flumi,1x,106,3,0,0,0.00,0.00,1.00,1.00
