exp,id,run,pop,herb,rate,rep,surv,biomass
GH,145,1,Brook,"2,4D",0,1,1,2.331
GH,146,1,Brook,"2,4D",0,2,1,3.921
GH,147,1,Brook,"2,4D",0,3,1,2.602
GH,148,1,Brook,"2,4D",0,4,1,2.454
GH,149,1,Brook,"2,4D",16,1,1,2.928
GH,150,1,Brook,"2,4D",16,2,1,2.818
GH,151,1,Brook,"2,4D",16,3,1,2.511
GH,152,1,Brook,"2,4D",16,4,1,2.304
GH,153,1,Brook,"2,4D",33,1,1,2.036
GH,154,1,Brook,"2,4D",33,2,1,2.444
GH,155,1,Brook,"2,4D",33,3,1,2.101
GH,156,1,Brook,"2,4D",33,4,1,2.778
GH,157,1,Brook,"2,4D",66,1,1,2.213
GH,158,1,Brook,"2,4D",66,2,1,2.283
GH,159,1,Brook,"2,4D",66,3,1,2.069
GH,160,1,Brook,"2,4D",66,4,1,1.942
GH,161,1,Brook,"2,4D",133,1,1,1.392
GH,162,1,Brook,"2,4D",133,2,1,1.819
GH,163,1,Brook,"2,4D",133,3,1,2.708
GH,164,1,Brook,"2,4D",133,4,1,0.526
GH,165,1,Brook,"2,4D",266,1,1,2.602
GH,166,1,Brook,"2,4D",266,2,1,1.525
GH,167,1,Brook,"2,4D",266,3,1,2.017
GH,168,1,Brook,"2,4D",266,4,1,2.134
GH,169,1,Brook,"2,4D",533,1,0,0
GH,170,1,Brook,"2,4D",533,2,1,1.4
GH,171,1,Brook,"2,4D",533,3,1,1.081
GH,172,1,Brook,"2,4D",533,4,1,1.085
GH,173,1,Brook,"2,4D",1065,1,0,0
GH,174,1,Brook,"2,4D",1065,2,1,0.782
GH,175,1,Brook,"2,4D",1065,3,1,0.612
GH,176,1,Brook,"2,4D",1065,4,1,0.867
GH,177,1,Brook,"2,4D",2130,1,0,0
GH,178,1,Brook,"2,4D",2130,2,0,0
GH,179,1,Brook,"2,4D",2130,3,0,0
GH,180,1,Brook,"2,4D",2130,4,1,0.322
GH,181,1,Brook,"2,4D",4260,1,0,0
GH,182,1,Brook,"2,4D",4260,2,0,0
GH,183,1,Brook,"2,4D",4260,3,1,0.28
GH,184,1,Brook,"2,4D",4260,4,1,0.341
GH,185,1,Brook,"2,4D",8520,1,1,0.212
GH,186,1,Brook,"2,4D",8520,2,1,0.341
GH,187,1,Brook,"2,4D",8520,3,1,0.267
GH,188,1,Brook,"2,4D",8520,4,1,0.248
GH,189,1,Brook,"2,4D",17040,1,1,0.793
GH,190,1,Brook,"2,4D",17040,2,1,0.324
GH,191,1,Brook,"2,4D",17040,3,0,0
GH,192,1,Brook,"2,4D",17040,4,1,0.552
GH,193,1,Brook,"2,4D+P450",0,1,1,4.081
GH,194,1,Brook,"2,4D+P450",0,2,1,3.768
GH,195,1,Brook,"2,4D+P450",0,3,1,3.292
GH,196,1,Brook,"2,4D+P450",0,4,1,1.822
GH,197,1,Brook,"2,4D+P450",16,1,1,2.267
GH,198,1,Brook,"2,4D+P450",16,2,1,1.853
GH,199,1,Brook,"2,4D+P450",16,3,1,2.429
GH,200,1,Brook,"2,4D+P450",16,4,1,2.523
GH,201,1,Brook,"2,4D+P450",33,1,1,2.654
GH,202,1,Brook,"2,4D+P450",33,2,1,2.085
GH,203,1,Brook,"2,4D+P450",33,3,1,1.935
GH,204,1,Brook,"2,4D+P450",33,4,1,2.481
GH,205,1,Brook,"2,4D+P450",66,1,1,1.884
GH,206,1,Brook,"2,4D+P450",66,2,1,2.301
GH,207,1,Brook,"2,4D+P450",66,3,1,2.205
GH,208,1,Brook,"2,4D+P450",66,4,1,1.743
GH,209,1,Brook,"2,4D+P450",133,1,1,1.475
GH,210,1,Brook,"2,4D+P450",133,2,1,1.719
GH,211,1,Brook,"2,4D+P450",133,3,1,2.031
GH,212,1,Brook,"2,4D+P450",133,4,1,2.511
GH,213,1,Brook,"2,4D+P450",266,1,1,1.375
GH,214,1,Brook,"2,4D+P450",266,2,1,1.671
GH,215,1,Brook,"2,4D+P450",266,3,1,1.101
GH,216,1,Brook,"2,4D+P450",266,4,1,2.209
GH,217,1,Brook,"2,4D+P450",533,1,1,1.836
GH,218,1,Brook,"2,4D+P450",533,2,1,1.39
GH,219,1,Brook,"2,4D+P450",533,3,1,0.794
GH,220,1,Brook,"2,4D+P450",533,4,1,1.312
GH,221,1,Brook,"2,4D+P450",1065,1,1,0.696
GH,222,1,Brook,"2,4D+P450",1065,2,1,1.139
GH,223,1,Brook,"2,4D+P450",1065,3,0,0
GH,224,1,Brook,"2,4D+P450",1065,4,1,1.17
GH,225,1,Brook,"2,4D+P450",2130,1,1,0.896
GH,226,1,Brook,"2,4D+P450",2130,2,0,0
GH,227,1,Brook,"2,4D+P450",2130,3,0,0
GH,228,1,Brook,"2,4D+P450",2130,4,1,0.748
GH,229,1,Brook,"2,4D+P450",4260,1,0,0
GH,230,1,Brook,"2,4D+P450",4260,2,1,0.394
GH,231,1,Brook,"2,4D+P450",4260,3,0,0
GH,232,1,Brook,"2,4D+P450",4260,4,0,0
GH,233,1,Brook,"2,4D+P450",8520,1,1,0.295
GH,234,1,Brook,"2,4D+P450",8520,2,0,0
GH,235,1,Brook,"2,4D+P450",8520,3,0,0
GH,236,1,Brook,"2,4D+P450",8520,4,0,0
GH,237,1,Brook,"2,4D+P450",17040,1,0,0
GH,238,1,Brook,"2,4D+P450",17040,2,0,0
GH,239,1,Brook,"2,4D+P450",17040,3,0,0
GH,240,1,Brook,"2,4D+P450",17040,4,1,0.336
GH,241,1,Brook,"2,4D+GST",0,1,1,4.034
GH,242,1,Brook,"2,4D+GST",0,2,1,3.572
GH,243,1,Brook,"2,4D+GST",0,3,1,4.748
GH,244,1,Brook,"2,4D+GST",0,4,1,2.876
GH,245,1,Brook,"2,4D+GST",16,1,1,2.347
GH,246,1,Brook,"2,4D+GST",16,2,1,3.646
GH,247,1,Brook,"2,4D+GST",16,3,1,2.269
GH,248,1,Brook,"2,4D+GST",16,4,1,2.166
GH,249,1,Brook,"2,4D+GST",33,1,1,2.968
GH,250,1,Brook,"2,4D+GST",33,2,1,1.208
GH,251,1,Brook,"2,4D+GST",33,3,1,2.688
GH,252,1,Brook,"2,4D+GST",33,4,1,2.943
GH,253,1,Brook,"2,4D+GST",66,1,1,2.436
GH,254,1,Brook,"2,4D+GST",66,2,1,2.289
GH,255,1,Brook,"2,4D+GST",66,3,1,1.407
GH,256,1,Brook,"2,4D+GST",66,4,1,2.094
GH,257,1,Brook,"2,4D+GST",133,1,1,2.018
GH,258,1,Brook,"2,4D+GST",133,2,1,0.239
GH,259,1,Brook,"2,4D+GST",133,3,1,1.339
GH,260,1,Brook,"2,4D+GST",133,4,1,3.038
GH,261,1,Brook,"2,4D+GST",266,1,1,1.526
GH,262,1,Brook,"2,4D+GST",266,2,1,1.523
GH,263,1,Brook,"2,4D+GST",266,3,1,1.321
GH,264,1,Brook,"2,4D+GST",266,4,1,1.774
GH,265,1,Brook,"2,4D+GST",533,1,1,1.409
GH,266,1,Brook,"2,4D+GST",533,2,1,1.108
GH,267,1,Brook,"2,4D+GST",533,3,1,0.872
GH,268,1,Brook,"2,4D+GST",533,4,1,1.102
GH,269,1,Brook,"2,4D+GST",1065,1,1,0.674
GH,270,1,Brook,"2,4D+GST",1065,2,1,0.75
GH,271,1,Brook,"2,4D+GST",1065,3,1,1.27
GH,272,1,Brook,"2,4D+GST",1065,4,1,0.497
GH,273,1,Brook,"2,4D+GST",2130,1,0,0
GH,274,1,Brook,"2,4D+GST",2130,2,1,0.884
GH,275,1,Brook,"2,4D+GST",2130,3,1,0.61
GH,276,1,Brook,"2,4D+GST",2130,4,0,0
GH,277,1,Brook,"2,4D+GST",4260,1,0,0
GH,278,1,Brook,"2,4D+GST",4260,2,0,0
GH,279,1,Brook,"2,4D+GST",4260,3,0,0
GH,280,1,Brook,"2,4D+GST",4260,4,1,0.834
GH,281,1,Brook,"2,4D+GST",8520,1,0,0
GH,282,1,Brook,"2,4D+GST",8520,2,1,0.285
GH,283,1,Brook,"2,4D+GST",8520,3,0,0
GH,284,1,Brook,"2,4D+GST",8520,4,1,1.072
GH,285,1,Brook,"2,4D+GST",17040,1,0,0
GH,286,1,Brook,"2,4D+GST",17040,2,0,0
GH,287,1,Brook,"2,4D+GST",17040,3,0,0
GH,288,1,Brook,"2,4D+GST",17040,4,0,0
GH,145,2,Brook,"2,4D",0,1,1,1.395
GH,146,2,Brook,"2,4D",0,2,1,1.846
GH,147,2,Brook,"2,4D",0,3,1,2.758
GH,148,2,Brook,"2,4D",0,4,1,2.989
GH,149,2,Brook,"2,4D",16,1,1,1.433
GH,150,2,Brook,"2,4D",16,2,1,3.24
GH,151,2,Brook,"2,4D",16,3,1,2.106
GH,152,2,Brook,"2,4D",16,4,1,2.243
GH,153,2,Brook,"2,4D",33,1,1,2.037
GH,154,2,Brook,"2,4D",33,2,1,1.971
GH,155,2,Brook,"2,4D",33,3,1,2.774
GH,156,2,Brook,"2,4D",33,4,1,1.492
GH,157,2,Brook,"2,4D",66,1,1,1.832
GH,158,2,Brook,"2,4D",66,2,1,1.701
GH,159,2,Brook,"2,4D",66,3,1,2.122
GH,160,2,Brook,"2,4D",66,4,1,1.207
GH,161,2,Brook,"2,4D",133,1,1,1.721
GH,162,2,Brook,"2,4D",133,2,1,1.366
GH,163,2,Brook,"2,4D",133,3,1,2.08
GH,164,2,Brook,"2,4D",133,4,1,1.223
GH,165,2,Brook,"2,4D",266,1,1,1.626
GH,166,2,Brook,"2,4D",266,2,1,1.049
GH,167,2,Brook,"2,4D",266,3,1,1.34
GH,168,2,Brook,"2,4D",266,4,1,1.013
GH,169,2,Brook,"2,4D",533,1,1,0.599
GH,170,2,Brook,"2,4D",533,2,1,0.666
GH,171,2,Brook,"2,4D",533,3,1,1.099
GH,172,2,Brook,"2,4D",533,4,1,0.654
GH,173,2,Brook,"2,4D",1065,1,1,0.733
GH,174,2,Brook,"2,4D",1065,2,1,0.413
GH,175,2,Brook,"2,4D",1065,3,0,0
GH,176,2,Brook,"2,4D",1065,4,0,0
GH,177,2,Brook,"2,4D",2130,1,0,0
GH,178,2,Brook,"2,4D",2130,2,0,0
GH,179,2,Brook,"2,4D",2130,3,0,0
GH,180,2,Brook,"2,4D",2130,4,0,0
GH,181,2,Brook,"2,4D",4260,1,0,0
GH,182,2,Brook,"2,4D",4260,2,1,0.228
GH,183,2,Brook,"2,4D",4260,3,0,0
GH,184,2,Brook,"2,4D",4260,4,0,0
GH,185,2,Brook,"2,4D",8520,1,1,0.134
GH,186,2,Brook,"2,4D",8520,2,1,0.074
GH,187,2,Brook,"2,4D",8520,3,0,0
GH,188,2,Brook,"2,4D",8520,4,0,0
GH,189,2,Brook,"2,4D",17040,1,0,0
GH,190,2,Brook,"2,4D",17040,2,0,0
GH,191,2,Brook,"2,4D",17040,3,0,0
GH,192,2,Brook,"2,4D",17040,4,1,0.241
GH,193,2,Brook,"2,4D+P450",0,1,1,1.464
GH,194,2,Brook,"2,4D+P450",0,2,1,2.04
GH,195,2,Brook,"2,4D+P450",0,3,1,2.954
GH,196,2,Brook,"2,4D+P450",0,4,1,2.211
GH,197,2,Brook,"2,4D+P450",16,1,1,1.634
GH,198,2,Brook,"2,4D+P450",16,2,1,1.632
GH,199,2,Brook,"2,4D+P450",16,3,1,1.484
GH,200,2,Brook,"2,4D+P450",16,4,1,1.779
GH,201,2,Brook,"2,4D+P450",33,1,1,1.634
GH,202,2,Brook,"2,4D+P450",33,2,1,1.714
GH,203,2,Brook,"2,4D+P450",33,3,1,1.453
GH,204,2,Brook,"2,4D+P450",33,4,1,1.614
GH,205,2,Brook,"2,4D+P450",66,1,1,1.606
GH,206,2,Brook,"2,4D+P450",66,2,1,1.469
GH,207,2,Brook,"2,4D+P450",66,3,1,1.952
GH,208,2,Brook,"2,4D+P450",66,4,1,1.61
GH,209,2,Brook,"2,4D+P450",133,1,1,1.23
GH,210,2,Brook,"2,4D+P450",133,2,1,0.712
GH,211,2,Brook,"2,4D+P450",133,3,1,1.097
GH,212,2,Brook,"2,4D+P450",133,4,1,0.794
GH,213,2,Brook,"2,4D+P450",266,1,1,1.643
GH,214,2,Brook,"2,4D+P450",266,2,1,0.518
GH,215,2,Brook,"2,4D+P450",266,3,1,1.339
GH,216,2,Brook,"2,4D+P450",266,4,1,1.105
GH,217,2,Brook,"2,4D+P450",533,1,0,0
GH,218,2,Brook,"2,4D+P450",533,2,1,0.302
GH,219,2,Brook,"2,4D+P450",533,3,0,0
GH,220,2,Brook,"2,4D+P450",533,4,1,0.791
GH,221,2,Brook,"2,4D+P450",1065,1,1,0.858
GH,222,2,Brook,"2,4D+P450",1065,2,0,0
GH,223,2,Brook,"2,4D+P450",1065,3,0,0
GH,224,2,Brook,"2,4D+P450",1065,4,1,0.604
GH,225,2,Brook,"2,4D+P450",2130,1,1,0.328
GH,226,2,Brook,"2,4D+P450",2130,2,1,0.484
GH,227,2,Brook,"2,4D+P450",2130,3,0,0
GH,228,2,Brook,"2,4D+P450",2130,4,0,0
GH,229,2,Brook,"2,4D+P450",4260,1,1,0.099
GH,230,2,Brook,"2,4D+P450",4260,2,1,0.272
GH,231,2,Brook,"2,4D+P450",4260,3,0,0
GH,232,2,Brook,"2,4D+P450",4260,4,0,0
GH,233,2,Brook,"2,4D+P450",8520,1,0,0
GH,234,2,Brook,"2,4D+P450",8520,2,0,0
GH,235,2,Brook,"2,4D+P450",8520,3,1,0.212
GH,236,2,Brook,"2,4D+P450",8520,4,1,0.196
GH,237,2,Brook,"2,4D+P450",17040,1,1,0.249
GH,238,2,Brook,"2,4D+P450",17040,2,0,0
GH,239,2,Brook,"2,4D+P450",17040,3,0,0
GH,240,2,Brook,"2,4D+P450",17040,4,0,0
GH,241,2,Brook,"2,4D+GST",0,1,1,1.763
GH,242,2,Brook,"2,4D+GST",0,2,1,3.136
GH,243,2,Brook,"2,4D+GST",0,3,1,2.169
GH,244,2,Brook,"2,4D+GST",0,4,1,1.414
GH,245,2,Brook,"2,4D+GST",16,1,1,1.06
GH,246,2,Brook,"2,4D+GST",16,2,1,1.204
GH,247,2,Brook,"2,4D+GST",16,3,1,1.459
GH,248,2,Brook,"2,4D+GST",16,4,1,1.291
GH,249,2,Brook,"2,4D+GST",33,1,1,0.991
GH,250,2,Brook,"2,4D+GST",33,2,1,1.578
GH,251,2,Brook,"2,4D+GST",33,3,1,2.379
GH,252,2,Brook,"2,4D+GST",33,4,1,1.899
GH,253,2,Brook,"2,4D+GST",66,1,1,1.486
GH,254,2,Brook,"2,4D+GST",66,2,1,1.863
GH,255,2,Brook,"2,4D+GST",66,3,1,2.052
GH,256,2,Brook,"2,4D+GST",66,4,1,0.655
GH,257,2,Brook,"2,4D+GST",133,1,1,1.377
GH,258,2,Brook,"2,4D+GST",133,2,1,0.55
GH,259,2,Brook,"2,4D+GST",133,3,1,0.984
GH,260,2,Brook,"2,4D+GST",133,4,1,1.218
GH,261,2,Brook,"2,4D+GST",266,1,0,0
GH,262,2,Brook,"2,4D+GST",266,2,1,1.163
GH,263,2,Brook,"2,4D+GST",266,3,1,1.208
GH,264,2,Brook,"2,4D+GST",266,4,1,0.719
GH,265,2,Brook,"2,4D+GST",533,1,1,0.466
GH,266,2,Brook,"2,4D+GST",533,2,1,0.664
GH,267,2,Brook,"2,4D+GST",533,3,1,0.871
GH,268,2,Brook,"2,4D+GST",533,4,1,1.197
GH,269,2,Brook,"2,4D+GST",1065,1,1,0.385
GH,270,2,Brook,"2,4D+GST",1065,2,1,0.541
GH,271,2,Brook,"2,4D+GST",1065,3,1,0.509
GH,272,2,Brook,"2,4D+GST",1065,4,1,0.451
GH,273,2,Brook,"2,4D+GST",2130,1,1,0.525
GH,274,2,Brook,"2,4D+GST",2130,2,0,0
GH,275,2,Brook,"2,4D+GST",2130,3,0,0
GH,276,2,Brook,"2,4D+GST",2130,4,1,0.756
GH,277,2,Brook,"2,4D+GST",4260,1,0,0
GH,278,2,Brook,"2,4D+GST",4260,2,0,0
GH,279,2,Brook,"2,4D+GST",4260,3,1,0.176
GH,280,2,Brook,"2,4D+GST",4260,4,0,0
GH,281,2,Brook,"2,4D+GST",8520,1,0,0
GH,282,2,Brook,"2,4D+GST",8520,2,0,0
GH,283,2,Brook,"2,4D+GST",8520,3,1,0.171
GH,284,2,Brook,"2,4D+GST",8520,4,0,0
GH,285,2,Brook,"2,4D+GST",17040,1,0,0
GH,286,2,Brook,"2,4D+GST",17040,2,0,0
GH,287,2,Brook,"2,4D+GST",17040,3,1,0.261
GH,288,2,Brook,"2,4D+GST",17040,4,0,0
